GeneName	GeneID	Chr	Start	Stop	X10007541	X10007542	X10007544	X10007547	X10007548	X10007549	X10007554	X10007556	X10007557	X10007558	X10007559	X10007561	X10007562	X10007563	X10007564	X10007565	X10007566	X10007567	X10007569	X10007578	X10007581	X10007583	X10007584	X10007587	X10007589	X10007590	X10007594	X10007595	X10007599	X10007602	X10007603	X10007605	X10007606	X10007607	X10007608	X10007610	X10007613	X10007615	X10007616
GPC5	ENSG00000179399	chr13	91398675	92873682	-1.178325512	-0.255710221	0.976459625	-0.035322712	-0.827795572	-4.401166866	-1.324210603	-1.936171745	-3.75324115	-3.354603458	-3.609668397	-2.427913385	-1.721783014	-2.960273103	-3.918743664	-3.101571109	-0.508019299	-3.586361071	-3.562207239	-0.009743591	-0.028321112	-3.170440976	-3.205063325	-3.609668397	-0.794935686	-3.995952013	0.176826807	-3.562207239	-3.609668397	-0.344366377	-2.563791579	-4.078434137	-3.033590448	-1.961990619	-1.247236852	0.095202474	-0.732749685	-1.684401528	-1.086045089
RNF157	ENSG00000141576	chr17	76142453	76240373	2.599854862	2.663829623	2.494997491	3.049081651	1.906736847	2.104110494	2.087599231	0.658679106	3.010589809	3.04877655	3.065333559	1.872796268	2.905257361	2.789166981	3.208385347	2.395988109	3.36244694	3.252429442	3.028620692	1.048131353	2.01241793	2.092763202	3.063544216	2.864308965	3.789373387	3.03103219	1.252623097	3.143874933	3.88390643	2.74169728	3.153891278	3.330823781	2.589635659	0.613578865	2.512281265	2.82494904	1.566765833	1.0527261	3.646417645
CTD-2228K2.7	ENSG00000225138	chr5	473236	480884	1.340753092	3.17220707	3.046140123	4.051687828	2.047536547	3.228941148	3.67021785	3.106809524	1.825330455	2.055870231	4.703229426	3.094185775	1.876131582	3.406239567	2.655977034	1.99521412	2.884419245	3.802927343	1.031337551	3.939189923	3.543896409	3.171906385	3.86436489	2.684124323	1.737102371	3.065333559	2.289077945	1.676310184	2.997536917	3.396188606	3.503074067	3.956073995	3.3959134	3.578084117	2.534269355	1.471936232	0.880934788	2.839115578	1.757695916
ABLIM2	ENSG00000163995	chr4	7965310	8158832	0.953329432	1.902091772	1.769045935	1.103719654	1.078790405	1.629920576	1.43888503	1.297356514	1.953902156	1.565160337	1.168669565	1.382274064	0.790631024	2.22002711	2.069089681	1.23047574	1.740253801	2.036000254	1.219708642	2.189877289	1.580292558	1.182590005	1.691890168	1.330187526	1.58556761	1.989632107	2.141984495	2.107674293	0.859867335	1.730874677	2.243889	1.086221913	1.833893895	1.60074199	1.541807155	1.653283574	0.982262689	1.423954185	1.944049769
L1TD1	ENSG00000240563	chr1	62194831	62212328	-0.220277177	0.335581699	-1.234895407	0.912014677	0.247044946	0.640300399	2.27155695	0.731203106	0.170667407	1.949233676	2.833930997	0.984661496	-2.136571694	0.264760841	2.221789202	0.350759385	0.121792833	1.383563007	2.906482606	0.236917368	2.279837572	0.212545099	1.562231859	-2.305058248	2.155997354	2.816431094	-0.26133325	2.688283975	-0.686049092	0.752597841	0.357770478	1.442217157	-1.485558563	1.255347839	-0.38234738	-1.17051691	-1.646075277	1.290714333	0.076478003
SH2D6	ENSG00000152292	chr2	85418721	85437029	1.807565104	-0.786713998	0.958800307	1.110738995	-0.234535916	0.115369453	-0.026116255	0.484478267	-0.282538345	2.397322305	1.68712705	1.88888763	-1.44846755	-0.218440344	0.507374497	1.498992909	1.353401123	2.679705433	0.233521648	1.475361739	2.632528624	1.947082685	1.093942845	0.577014217	0.450522198	1.669903988	1.848888197	1.471936232	-0.680460443	2.180234185	0.828455773	1.449429636	-0.059923969	1.698899065	0.167170534	1.056731582	0.747220857	1.334303336	1.055255787
C4BPA	ENSG00000123838	chr1	207104262	207144972	-0.629210842	-2.867855959	0.387782209	-2.254656886	-0.222028898	1.074700083	0.923761263	-2.91698767	-1.894257078	0.435968375	1.338640524	0.597359767	0.454824089	-1.155293829	-0.01888374	1.676310184	-0.695282004	0.280893222	1.071463868	0.232147732	0.246378411	-0.423692571	0.51722512	0.748751107	-1.251489883	-0.227227651	2.177082848	0.576484957	0.249643738	-0.715705533	-2.512183564	0.059460303	-2.045287124	0.04161678	0.342444726	-1.21645264	-0.874037367	0.134735572	-0.853098358
SLC2A12	ENSG00000146411	chr6	133988697	134052636	0.096649915	2.064684918	1.2720096	1.547962329	0.359644761	0.045274432	0.817206272	0.507374497	0.952840779	0.342444726	0.289305949	0.709708583	0.583871271	1.001672554	0.977504632	0.025381761	0.572524689	1.532186537	0.335581699	1.921176693	1.035697545	0.707637177	0.318616106	-0.350254624	0.811092608	0.394319872	1.808363336	1.103719654	0.495022045	0.371850025	1.466859336	0.397565356	-0.185056618	0.426275178	-0.323099854	1.420881199	0.112592613	0.971498542	1.654143623
IGLJ2	ENSG00000211676	chr22	22899481	22899655	3.604927491	2.3218999	3.400487041	4.640380987	3.211543633	3.551864181	4.745633066	4.095588859	5.209248629	4.862757106	4.229841224	2.855673131	4.37296564	3.885906146	3.964630912	5.447726499	2.916148341	1.864660322	4.669498934	3.424763639	5.064764189	3.224590362	3.787904598	4.406195671	4.483782353	4.070092035	2.492657042	2.940093872	4.352261557	4.545739933	3.748405311	4.327149596	4.973479403	5.164495025	4.29326457	4.915239018	4.535394024	4.493781697	3.183911373
BATF3	ENSG00000123685	chr1	212686418	212699985	-0.692572482	-0.640403012	0.255617428	0.179502202	-0.763617717	-0.082010656	-0.83064858	-0.766300539	-0.344366377	0.095202474	-0.529348236	-0.391105113	0.217298087	-0.064146023	-0.599112898	0.234926494	0.215973666	-1.172502968	0.668903634	-2.162799866	-1.023527991	0.112592613	-0.172683378	-0.137187755	-1.001661988	-0.654898786	-3.354603458	-0.096037707	-0.169254988	0.215287958	-0.926044195	-0.158811146	0.264136074	-0.411358056	0.764819168	-0.553337013	-0.368095538	-0.782649966	-0.354214188
ANXA1	ENSG00000135046	chr9	73151757	73170393	4.672864054	4.00728418	3.724449474	5.002299795	4.284713161	4.554384411	4.184811983	4.305993477	5.348234114	4.755805421	4.445570971	4.084219652	5.164495025	4.404928397	4.64941349	4.871700156	5.185999973	3.93652403	4.583304588	3.822897671	4.115232181	4.308257293	4.353888714	5.541300995	4.525050333	4.286264509	3.423920307	4.801831971	4.523373846	4.847522348	3.977624978	4.744541701	5.14459806	4.791630711	5.66612958	4.674551149	4.995904424	4.965440834	4.324575332
DPT	ENSG00000143196	chr1	168695459	168729264	3.096867561	4.024991218	2.104470107	3.928224435	2.896491933	3.700516031	3.285644003	2.996663334	4.366883341	3.061477043	1.904774235	3.504781726	5.045229981	4.277540992	3.684031577	2.999057347	4.955328449	2.584223528	2.417635179	2.780266635	2.884131053	2.238310524	2.923721037	4.938727963	4.889116689	1.831538758	2.874274066	3.532810276	2.69045344	3.457222358	2.959014163	3.34031138	4.40105005	3.544203577	4.747474766	3.576974109	4.066763501	4.170423316	3.878041196
GPER1	ENSG00000164850	chr7	1082208	1093815	0.49729949	1.799065577	1.167225585	2.38051219	1.404333885	1.540587577	1.074261607	0.296025147	1.88046995	2.741064233	1.503210935	1.772148964	1.663898943	2.495351506	0.460767706	3.239665327	1.057706762	2.452857637	0.570170752	2.720841575	1.12452852	2.086537222	1.304013549	1.780731952	2.279498358	1.523574888	2.924005292	2.138051172	1.124978367	2.773454217	2.01387486	1.30708778	2.193108714	2.004255869	0.991853817	1.073798296	1.061967276	1.339068238	2.021256896
BTNL9	ENSG00000165810	chr5	181040225	181061523	0.209791915	0.826492621	0.332323308	0.98179591	0.967092549	-0.306186309	-0.783976826	1.301736203	0.915897263	1.112998626	1.053309145	0.371850025	0.089793121	1.740639585	0.191930685	0.72842371	0.989366746	1.427736669	-0.361127073	0.68451155	1.086221913	-0.038476477	0.671002406	0.490376442	-0.168368098	0.069817691	1.781123363	-0.00668969	-0.464565251	0.759609688	0.846521144	-0.283482914	0.241495122	0.495599788	0.004174831	0.953855964	0.662002419	0.264136074	0.651935096
ST6GAL2	ENSG00000144057	chr2	106801600	106887108	3.166669269	1.925382942	1.396265732	3.911391645	3.335103843	2.213046141	2.544903612	2.316709113	2.21412798	2.230628194	1.864660322	3.588145266	2.320149276	4.325854426	1.914342468	3.017425862	4.18077174	1.845822761	2.563091828	1.762444512	3.180059522	4.685860073	2.193108714	3.377223544	3.903563784	2.587111461	1.657403266	3.949558236	3.513283238	1.701218363	2.454516327	2.724310777	1.938784705	2.159929357	3.821432626	3.313523432	2.442575071	2.376118727	3.038151998
DMBT1	ENSG00000187908	chr10	122560665	122643736	3.114625123	-0.608564424	3.492945948	4.478161656	2.549034283	3.886191713	3.456081849	0.169154826	1.728495083	3.251276533	3.020646799	1.501960728	1.841975962	2.530012381	2.705013269	3.914071549	2.32666698	3.007361428	3.404496428	2.445920484	2.805341234	2.372357604	3.914939145	2.029782542	2.664137417	3.221078351	2.985951488	3.085353082	3.213589771	3.013854519	2.278120897	2.678754343	2.460741873	1.518188426	2.686044006	2.621053513	3.301572358	3.963159363	1.901730056
PI4KAP1	ENSG00000274602	chr22	18533646	18577968	0.895327087	-0.223768527	1.758471868	-0.466809207	1.585987008	1.933618883	0.980868285	1.686359906	-0.207419689	0.105970385	1.576108733	0.844986326	-0.998146561	1.623346582	-0.993182472	-0.566212356	1.549181746	0.238228943	1.650377526	-0.875477152	-0.307070452	-0.971472327	0.674300828	1.169570563	-0.937155164	-0.817719963	0.374607568	1.069031954	2.503163231	0.19267076	0.821828809	0.438886635	-0.048794141	-0.359213083	-0.168368098	1.589705894	1.242664528	0.659236286	0.221287153
OLFM4	ENSG00000102837	chr13	53028759	53052057	3.588145266	2.816117935	6.313243292	8.353081632	4.579593628	8.11451576	3.158247046	3.095698604	3.902652216	3.515534181	3.625227859	6.775498031	2.960204406	5.770175632	3.295230668	3.197945139	4.574726342	8.951686444	2.410180058	5.681179386	7.465359815	6.218970916	3.762076226	3.220805205	3.533961647	7.563632495	5.010247234	6.413967242	3.297557136	3.925857075	7.230767966	1.809931507	2.134003004	6.89685184	2.372357604	5.261301224	4.680828806	3.483414001	4.894507148
MASP1	ENSG00000127241	chr3	187217285	187292022	1.207715616	0.768546356	0.090517103	0.753108328	-0.503658411	0.1781286	-0.719669104	-1.966332035	0.571927497	1.189876164	-0.62549288	0.724117098	1.699278881	1.040034021	0.703907307	-0.057578497	1.521545764	-1.728638843	-0.606153545	-1.337837441	-0.118196765	1.40734849	-0.169254988	0.685596281	0.868009602	-0.348295519	-0.79089536	0.553970556	-1.520958729	1.261097772	-0.645155916	0.48847595	0.370074922	0.176826807	1.188965182	0.12965021	0.200303009	0.059460303	0.412241847
PCDHB11	ENSG00000197479	chr5	141199582	141203779	-0.880079586	-1.537858105	-2.201653239	-1.915585412	-0.171866336	-1.866343864	-3.205063325	-1.485558563	-1.78267895	-1.858323829	-1.725030718	-1.39067021	-0.186818974	-1.142007081	-2.201653239	-1.834696717	-2.931754029	-0.764934338	-2.2863521	-0.848574773	-1.815981556	-1.278269045	-2.434878608	-2.398488584	-2.045287124	-1.614315271	-0.15093199	-0.988359948	-2.488962733	-2.820288627	-2.310908083	-2.11615393	-1.804810047	-1.019866845	-1.086045089	-1.459061103	-1.75746785	-0.740774288	-0.895542776
PI16	ENSG00000164530	chr6	36948263	36964837	0.069817691	2.001156584	-2.743066964	1.619735594	1.615617084	0.145224028	-3.016583338	-0.407283475	0.321138203	-0.57414307	-2.110832057	-0.081191677	1.348940834	-0.555680871	-1.218384405	-1.104421639	2.115556682	-0.48179583	-2.420561576	-3.511047517	-0.57654569	-1.569986491	-2.842839857	1.579906761	-0.428967329	-2.775450229	0.773678179	-2.35811477	0.214634458	-0.999853611	-1.504593152	0.610728701	-0.008230393	-0.29556535	0.026095528	-1.467028238	-0.086098649	-0.334647451	0.350112925
IGLC3	ENSG00000211679	chr22	22906342	22906803	9.557134284	8.192285604	8.238307538	10.24302567	8.3704228	9.146737561	8.454934976	8.722085691	10.24302567	9.486488737	8.364613959	9.208378216	9.521138232	8.493133891	8.601750051	9.739417454	8.133502754	7.649675478	8.8219426	8.269991493	9.538960847	7.521075095	8.8219426	9.594596145	9.208378216	9.066375573	7.703381343	8.698496908	9.195739021	10.1294816	8.67540603	9.134855464	10.2846707	9.557134284	9.012648422	9.57567391	10.20340769	9.436812867	8.539375404
RP11-255H23.4	ENSG00000267924	chr19	23817599	23874701	0.820807806	1.324604847	4.942726578	0.847002308	5.866222138	4.382675345	4.691425821	4.974754184	4.454222942	5.254256445	4.689229434	4.820466018	4.898828284	4.865638976	1.018737469	4.259303735	4.899214152	5.740327474	1.635900673	4.418010526	5.973038067	4.883572509	5.664638487	0.842963213	1.190886679	4.73787348	1.422688852	4.6568073	1.102754747	4.584668387	5.173984258	1.072410642	4.870952601	4.777921322	5.205021504	0.958318402	4.575792106	5.281142548	5.749040042
B4GALNT2	ENSG00000167080	chr17	49132460	49169989	2.797180001	3.561350823	3.446317981	2.276389656	2.192759185	5.437955935	3.882462425	2.644566258	2.862733794	4.870113215	4.640011163	4.448879118	3.354399732	3.485458572	4.764017805	4.220728963	1.756514883	4.087751568	4.812495082	4.595251444	3.981847202	1.892294051	5.030271288	2.530350978	2.493314366	3.439724813	4.088069385	5.156268284	3.525328705	2.503493783	2.629331828	3.852920197	2.112720738	3.328514002	3.240840017	2.466404867	2.61315805	3.948612912	2.554159957
RP11-708H21.4	ENSG00000262973	chr17	49171895	49173246	1.703984412	3.129010734	3.16961327	1.636673446	0.553970556	4.369426501	3.408910168	2.401957414	1.498992909	4.066456874	3.702242588	3.581532195	2.91343152	3.195630551	4.07792505	3.676861546	2.283350041	3.339705639	4.088993599	3.934126336	3.22428655	0.863484388	4.561523113	2.09171061	1.814222583	3.656798724	3.187960827	4.67853024	2.94783437	2.460080667	2.38727315	3.373441802	1.762444512	2.408879726	2.688283975	1.99850749	1.122177368	2.92125668	1.988503375
RP11-478K15.6	ENSG00000230731	chr13	44234118	44243192	-0.844120355	-0.67534522	0.023889641	-1.192348021	-1.17633268	-1.49628919	0.037229898	-1.121150024	-1.671437819	-0.499300328	-0.147535852	-0.193722395	-0.853098358	-0.238299378	-1.815981556	-1.214382992	-1.464299215	-0.188467407	-1.403005139	0.790631024	-2.231252666	-0.125546417	-0.697805834	-1.364123566	-0.690016502	-0.848574773	1.14841271	-0.283482914	-0.755350646	-0.501434453	-0.055221224	-0.959963686	-2.201653239	-1.438093335	-0.930802289	-0.286192767	-2.66310903	0.362786957	0.739173189
LINC01207	ENSG00000248771	chr4	164754064	164803795	4.620885819	5.339755585	5.076926237	4.626132095	4.866376185	4.875711526	4.394441194	4.465523182	5.295649536	4.103182848	4.785924627	4.711172508	4.309178347	5.588322698	4.946820009	5.051787254	3.846183778	5.245845756	4.674916685	5.453304114	4.661153323	4.261494796	5.433214155	4.814402981	4.578919146	4.461564199	5.657738702	5.461285845	4.253678362	5.363503324	4.566740066	4.857360132	4.510957449	4.833520196	5.078748964	4.79687968	4.968648347	5.13401458	5.0341109
KRT6A	ENSG00000205420	chr12	52487174	52493257	-4.92232312	-3.995952013	-4.341318708	-5.053314741	0.552809744	2.121638655	-5.794180384	3.341804948	2.278818334	3.79510764	1.507767923	-5.414935422	-4.710498888	-5.202485321	-3.817139481	0.88403846	1.543390621	-4.543159687	-5.053314741	-4.810827446	0.082563268	-4.92232312	3.790483868	2.875778298	-5.053314741	-5.414935422	-5.053314741	-3.408575092	-5.053314741	3.460477904	-3.883772343	4.211084305	3.645857655	-3.586361071	-4.341318708	2.687952385	-4.039141616	-4.810827446	-4.078434137
C1QTNF1-AS1	ENSG00000265096	chr17	79019209	79027655	-1.46967884	-0.604966731	-0.03458516	-1.99293422	-1.335443774	-1.459061103	0.503349708	-2.879318553	-3.067162035	0.141751018	-0.511277313	-0.480779829	0.435405101	0.424535729	0.23429482	-0.27057035	-2.035311314	0.723601159	0.198276929	0.689926757	-0.838255217	0.032817642	0.207764569	-1.366498891	-0.522744498	0.026899252	1.746136207	1.206779357	-0.924535177	0.300530828	-0.199702022	-0.679204917	-2.337044771	-2.589680977	-1.134382423	0.424535729	-1.768287092	0.176826807	-0.163250356
